ID,Category,KPI Name,Definition,Formula,Numerator,Denominator,Value (%),Sample size (n),Source question,Interpretation,Limitation
K1,Mealtime viewing frequency,Weekly Meal-Occasion Rate,Share of eligible respondents who watch something at a meal 3+ times a week.,"n(meal_sessions_per_week in {3-5, 6-10, 10+}) / n(eligible pre respondents)",52,61,85.2,61,"pre_q1 — 'In a typical week, how many times do you watch on a streaming app while eating a meal?'","Mealtime streaming is a frequent, recurring occasion for the large majority of eligible respondents, not an edge case.","Self-reported frequency band, not logged behaviour; bands are coarse (e.g. '3-5') so exact counts aren't recoverable."
K2,Decision friction,High-Friction Decision Rate,Share of eligible respondents whose last mealtime decision took more than 3 minutes.,"n(decision_time in {3-5, 5-10, Over 10 minutes}) / n(eligible pre respondents)",36,61,59.0,61,pre — 'How long did you spend deciding before you actually started?',A majority spend more than 3 minutes deciding; the tail is meaningful too — 18.0% spend over 10 minutes.,"Recall of a single past instance, not a timed measurement; 1 respondent who 'never started' is excluded from this rate."
K3,Abandonment,Any-Abandonment Rate,Share of eligible respondents who gave up at least once in the last month after opening a streaming app at a meal.,"n(giveup_freq in {Once or twice, A few times, Often}) / n(eligible pre respondents)",48,61,78.7,61,"pre — 'In the last month, how often did you open a streaming app at a meal but give up without watching anything?'","Abandonment is broad at least-once, but the chronic form is narrow: only 13.1% report 'Often'. Report both — breadth is not the same as severity.",One-month recall window; no distinction between a 30-second reconsideration and a multi-minute abandoned search.
K4,Off-platform leak,Off-Platform Leak Rate,"Share of eligible respondents whose reported action, the last time deciding dragged, left Netflix (YouTube, social media, or another app) rather than staying on the platform.","n(action_when_dragged in {YouTube, social media, another app}) / n(eligible pre respondents)",33,61,54.1,61,"pre — 'The last time deciding dragged at a meal, what did you actually do?'",YouTube alone accounts for 23 of 33 off-platform instances — the single largest destination and the clearest commercially relevant loss.,"Question is framed around 'the last time deciding dragged', so it presupposes a drag event rather than being conditioned on the abandonment question (K3); not a strict funnel step."
K5,Perceived speed-up,Perceived Speed-Up Rate,Share of post-prototype respondents who rated finding something with the feature as faster or much faster than their normal routine.,"n(perceived_speed in {Faster, Much faster}) / n(post respondents)",22,37,59.5,37,"post — ""...finding something with the 'Watch While You Eat' row was...""","A majority perceive a speed-up, but a large minority (about 4 in 10) felt no improvement or worse — this is a real, not unanimous, effect.","Stated perception in a single test session, not a timed A/B comparison against the normal routine."
K6,Struggle reduction,Struggle Reduction Rate,"Share of post-prototype respondents who said the feature reduced the 'what do I put on' struggle, clearly or somewhat.","n(reduced_struggle in {Yes clearly, Somewhat}) / n(post respondents)",35,37,94.6,37,"post — ""Did it reduce the 'what do I put on' struggle for you specifically?""","Very high on the surface, but only 21.6% chose the strong option ('Yes, clearly'); most of the 94.6% is the softer 'Somewhat'.",Self-report after a single short exposure; does not measure an actual repeated-use reduction in struggle.
K7,Start intention,Start-Intention Rate,"Share of post-prototype respondents who said they would have started watching (easily or eventually) rather than probably given up, had this been a real meal.","n(start_intention in {Started easily, Started eventually}) / n(post respondents)",35,37,94.6,37,"post — 'If that had been a real meal just now, would you have started watching — or given up?'","The strongest reaction measure in the study; directly answers the abandonment claim (C3) with a hypothetical intention, though only 45.9% chose the confident 'started easily' option.","Hypothetical/stated intention captured immediately after prototype exposure, not an observed behaviour at a real meal."
K8,On-platform intention,Retention Intention Rate,"Share of post-prototype respondents who said the feature would keep them on Netflix at a meal instead of switching, yes or maybe.","n(stay_on_netflix in {Yes, Maybe}) / n(post respondents)",32,37,86.5,37,post — 'Would this keep you on Netflix at a meal instead of switching to something else?',"Directly answers the C4 leak claim; among the matched respondents who had reported an off-platform leak pre-survey, 89.5% now say yes/maybe (n=19) — see matched analysis.",'Maybe' (the largest single response) is counted toward retention; a stricter definition using only 'Yes' would give a materially lower rate — reported separately in the dashboard.
K9,Headline desirability,Top-Box Likelihood to Use,Share of post-prototype respondents rating likelihood to use the feature at their next meal 8 or above out of 10.,n(likelihood_use_next >= 8) / n(post respondents),12,37,32.4,37,post — 'How likely are you to use this at your next meal?' (0-10),"The weakest of the reaction measures (mean 6.14, median 6.0) and the one requiring the most commitment from the respondent — this is the number the go/no-go decision should weight most heavily, not the softer reaction measures above.",Single-item stated intention; no observed repeat-use or actual adoption data exists to validate it against.
G1,Guardrail,Already-Seen / Would-Skip Rate,"Share of post-prototype respondents who said the suggested episodes felt like content they'd already skip, rather than content they'd want.","n(guardrail_already_seen == ""Mostly things I'd already skip"") / n(post respondents who answered this item)",0,37,0.0,37,"post — ""Of the episodes it suggested, did they feel like things you'd want, or things you'd already skip?""",No respondent chose the 'would already skip' pole; the split is 'Mostly things I'd want' (24/37) vs 'A mix' (13/37). No kill-switch signal in the current data — recommendation relevance is not failing outright.,"This item has 0 missing values and real variance in the current export. Because a genuinely degenerate/default-only response pattern would invalidate this KPI, it should be re-checked against the live survey tool export (not just this snapshot) before being relied on for a go/no-go call."
